date,trea3,trea5,trea10
2021-04-15,1.140,1.565,2.015
2021-04-14,1.100,1.525,1.992
2021-04-13,1.132,1.560,2.025
2021-04-12,1.135,1.542,1.997
2021-04-09,1.167,1.575,2.025
2021-04-08,1.160,1.555,2.022
2021-04-07,1.177,1.582,2.060
2021-04-06,1.185,1.610,2.077
2021-04-05,1.202,1.640,2.100
2021-04-02,1.147,1.571,2.052
2021-04-01,1.135,1.570,2.020
2021-03-31,1.127,1.597,2.057
2021-03-30,1.151,1.607,2.077
2021-03-29,1.115,1.520,1.967
2021-03-26,1.125,1.535,2.010
2021-03-25,1.095,1.510,1.965
2021-03-24,1.120,1.532,1.980
2021-03-23,1.147,1.595,2.037
2021-03-22,1.130,1.602,2.050
2021-03-19,1.142,1.620,2.115
2021-03-18,1.137,1.635,2.162
2021-03-17,1.177,1.640,2.138
2021-03-16,1.175,1.606,2.097
2021-03-15,1.220,1.620,2.152
2021-03-12,1.230,1.605,2.105
2021-03-11,1.175,1.530,2.022
2021-03-10,1.175,1.570,2.035
2021-03-09,1.220,1.605,2.035
2021-03-08,1.150,1.518,2.031
2021-03-05,1.067,1.441,1.995
2021-03-04,1.035,1.422,1.967
2021-03-03,1.017,1.422,1.950
2021-03-02,1.022,1.457,1.970
2021-02-26,1.020,1.455,1.970
2021-02-25,0.996,1.382,1.893
2021-02-24,1.002,1.360,1.853
2021-02-23,1.015,1.372,1.892
2021-02-22,1.020,1.390,1.930
2021-02-19,0.995,1.345,1.877
2021-02-18,0.985,1.330,1.855
2021-02-17,0.982,1.342,1.862
2021-02-16,0.980,1.335,1.845
2021-02-15,0.994,1.357,1.865
2021-02-10,0.992,1.335,1.830
2021-02-09,0.990,1.320,1.820
2021-02-08,0.995,1.328,1.827
2021-02-05,0.982,1.305,1.782
2021-02-04,0.980,1.320,1.790
2021-02-03,0.977,1.317,1.767
2021-02-02,0.980,1.320,1.765
2021-02-01,0.987,1.337,1.792
2021-01-29,0.972,1.315,1.765
2021-01-28,0.977,1.330,1.765
2021-01-27,0.987,1.337,1.762
2021-01-26,1.002,1.345,1.767
2021-01-25,1.005,1.350,1.777
2021-01-22,0.990,1.325,1.755
2021-01-21,0.970,1.285,1.702
2021-01-20,0.975,1.285,1.702
2021-01-19,0.977,1.297,1.710
2021-01-18,0.967,1.302,1.710
2021-01-15,0.970,1.310,1.730
2021-01-14,0.987,1.325,1.732
2021-01-13,0.975,1.307,1.717
2021-01-12,0.977,1.311,1.717
2021-01-11,0.965,1.295,1.685
2021-01-08,0.977,1.321,1.720
2021-01-07,0.970,1.322,1.720
2021-01-06,0.960,1.322,1.732
2021-01-05,0.937,1.295,1.695
2021-01-04,0.955,1.325,1.732
2020-12-31,0.970,1.335,1.722
2020-12-30,0.970,1.335,1.722
2020-12-29,0.980,1.327,1.697
2020-12-28,0.957,1.312,1.677
2020-12-24,0.952,1.325,1.692
2020-12-23,0.927,1.275,1.637
2020-12-22,0.942,1.302,1.655
2020-12-21,0.960,1.322,1.677
2020-12-18,0.965,1.347,1.707
2020-12-17,0.995,1.367,1.731
2020-12-16,0.990,1.345,1.697
2020-12-15,0.982,1.320,1.672
2020-12-14,0.985,1.305,1.670
2020-12-11,0.977,1.305,1.657
2020-12-10,0.972,1.297,1.652
2020-12-09,0.957,1.312,1.652
2020-12-08,0.960,1.310,1.642
2020-12-07,0.960,1.317,1.642
2020-12-04,0.970,1.335,1.664
2020-12-03,0.965,1.325,1.657
2020-12-02,0.982,1.350,1.675
2020-12-01,0.977,1.332,1.645
2020-11-30,0.980,1.335,1.662
2020-11-27,0.977,1.325,1.640
2020-11-26,0.985,1.335,1.657
2020-11-25,0.972,1.312,1.635
2020-11-24,0.960,1.287,1.595
2020-11-23,0.955,1.285,1.582
2020-11-20,0.967,1.302,1.612
2020-11-19,0.957,1.300,1.617
2020-11-18,0.945,1.282,1.604
2020-11-17,0.960,1.295,1.622
2020-11-16,0.967,1.295,1.620
2020-11-13,0.960,1.297,1.627
2020-11-12,0.967,1.320,1.646
2020-11-11,0.987,1.340,1.670
2020-11-10,0.982,1.312,1.630
2020-11-09,0.955,1.267,1.565
2020-11-06,0.947,1.257,1.565
2020-11-05,0.922,1.220,1.525
2020-11-04,0.950,1.265,1.565
2020-11-03,0.977,1.297,1.605
2020-11-02,0.969,1.290,1.605
2020-10-30,0.935,1.240,1.552
2020-10-29,0.922,1.215,1.520
2020-10-28,0.910,1.197,1.497
2020-10-27,0.915,1.210,1.507
2020-10-26,0.907,1.190,1.485
2020-10-23,0.910,1.197,1.495
2020-10-22,0.920,1.207,1.505
2020-10-21,0.930,1.222,1.520
2020-10-20,0.912,1.175,1.465
2020-10-19,0.892,1.150,1.440
2020-10-16,0.890,1.180,1.500
2020-10-15,0.870,1.155,1.472
2020-10-14,0.897,1.192,1.512
2020-10-13,0.920,1.207,1.520
2020-10-12,0.924,1.225,1.557
2020-10-08,0.902,1.205,1.541
2020-10-07,0.907,1.202,1.533
2020-10-06,0.902,1.197,1.535
2020-10-05,0.877,1.147,1.480
2020-09-29,0.842,1.100,1.427
2020-09-28,0.840,1.120,1.427
2020-09-25,0.850,1.120,1.427
2020-09-24,0.852,1.116,1.427
2020-09-23,0.885,1.147,1.450
2020-09-22,0.897,1.175,1.467
2020-09-21,0.905,1.197,1.495
2020-09-18,0.905,1.202,1.505
2020-09-17,0.910,1.192,1.500
2020-09-16,0.914,1.185,1.482
2020-09-15,0.905,1.195,1.500
2020-09-14,0.917,1.212,1.512
2020-09-11,0.930,1.230,1.532
2020-09-10,0.912,1.222,1.522
2020-09-09,0.910,1.182,1.517
2020-09-08,0.942,1.225,1.550
2020-09-07,0.975,1.267,1.577
2020-09-04,0.940,1.237,1.540
2020-09-03,0.922,1.225,1.530
2020-09-02,0.917,1.225,1.537
2020-09-01,0.965,1.260,1.570
2020-08-31,0.947,1.220,1.527
2020-08-28,0.892,1.172,1.485
2020-08-27,0.855,1.132,1.423
2020-08-26,0.835,1.115,1.405
2020-08-25,0.825,1.100,1.387
2020-08-24,0.825,1.095,1.382
2020-08-21,0.855,1.130,1.410
2020-08-20,0.815,1.082,1.380
2020-08-19,0.807,1.067,1.352
2020-08-18,0.810,1.065,1.352
2020-08-14,0.827,1.100,1.400
2020-08-13,0.812,1.070,1.357
2020-08-12,0.827,1.092,1.380
2020-08-11,0.820,1.075,1.345
2020-08-10,0.827,1.094,1.362
2020-08-07,0.810,1.062,1.327
2020-08-06,0.805,1.052,1.305
2020-08-05,0.797,1.045,1.292
2020-08-04,0.800,1.055,1.305
2020-08-03,0.795,1.037,1.302
2020-07-31,0.792,1.032,1.295
2020-07-30,0.797,1.030,1.275
2020-07-29,0.812,1.060,1.305
2020-07-28,0.813,1.072,1.325
2020-07-27,0.800,1.050,1.292
2020-07-24,0.800,1.045,1.302
2020-07-23,0.800,1.055,1.322
2020-07-22,0.804,1.067,1.342
2020-07-21,0.817,1.085,1.352
2020-07-20,0.802,1.066,1.332
2020-07-17,0.812,1.079,1.350
2020-07-16,0.825,1.105,1.370
2020-07-15,0.845,1.145,1.412
2020-07-14,0.852,1.147,1.412
2020-07-13,0.860,1.147,1.423
2020-07-10,0.846,1.122,1.397
2020-07-09,0.840,1.120,1.397
2020-07-08,0.837,1.102,1.375
2020-07-07,0.840,1.115,1.387
2020-07-06,0.855,1.135,1.410
2020-07-03,0.835,1.112,1.382
2020-07-02,0.827,1.110,1.375
2020-07-01,0.845,1.130,1.400
2020-06-30,0.845,1.115,1.385
2020-06-29,0.837,1.092,1.357
2020-06-26,0.812,1.070,1.325
2020-06-25,0.815,1.080,1.337
2020-06-24,0.820,1.090,1.362
2020-06-23,0.822,1.105,1.375
2020-06-22,0.847,1.127,1.390
2020-06-19,0.847,1.132,1.390
2020-06-18,0.829,1.100,1.375
2020-06-17,0.875,1.145,1.398
2020-06-16,0.857,1.135,1.408
2020-06-15,0.867,1.157,1.422
2020-06-12,0.841,1.121,1.380
2020-06-11,0.837,1.113,1.382
2020-06-10,0.837,1.117,1.385
2020-06-09,0.850,1.120,1.382
2020-06-08,0.897,1.185,1.447
2020-06-05,0.897,1.200,1.460
2020-06-04,0.885,1.175,1.427
2020-06-03,0.865,1.151,1.417
2020-06-02,0.830,1.100,1.357
2020-06-01,0.835,1.124,1.402
2020-05-29,0.809,1.090,1.365
2020-05-28,0.817,1.085,1.350
2020-05-27,0.850,1.083,1.331
2020-05-26,0.842,1.082,1.337
2020-05-25,0.812,1.050,1.312
2020-05-22,0.832,1.070,1.340
2020-05-21,0.860,1.097,1.341
2020-05-20,0.867,1.115,1.360
2020-05-19,0.875,1.127,1.392
2020-05-18,0.885,1.130,1.395
2020-05-15,0.870,1.112,1.377
2020-05-14,0.867,1.115,1.380
2020-05-13,0.860,1.115,1.392
2020-05-12,0.885,1.140,1.430
2020-05-11,0.930,1.192,1.470
2020-05-08,0.910,1.162,1.425
2020-05-07,0.935,1.205,1.470
2020-05-06,0.957,1.230,1.515
2020-05-04,0.972,1.213,1.496
2020-04-29,1.010,1.247,1.517
2020-04-28,1.030,1.285,1.552
2020-04-27,1.026,1.291,1.580
2020-04-24,1.007,1.255,1.535
2020-04-23,1.027,1.292,1.548
2020-04-22,1.042,1.275,1.540
2020-04-21,1.035,1.232,1.455
2020-04-20,1.015,1.217,1.442
2020-04-17,1.010,1.220,1.449
2020-04-16,0.990,1.192,1.420
2020-04-14,1.000,1.220,1.462
2020-04-13,0.997,1.225,1.475
2020-04-10,0.970,1.192,1.455
2020-04-09,0.992,1.202,1.444
2020-04-08,1.015,1.255,1.514
2020-04-07,1.047,1.317,1.580
2020-04-06,1.060,1.311,1.551
2020-04-03,1.065,1.327,1.550
2020-04-02,1.057,1.300,1.520
2020-04-01,1.090,1.331,1.555
2020-03-31,1.070,1.297,1.552
2020-03-30,1.105,1.327,1.567
2020-03-27,1.067,1.270,1.537
2020-03-26,1.072,1.280,1.505
2020-03-25,1.102,1.384,1.620
2020-03-24,1.135,1.450,1.722
2020-03-23,1.165,1.466,1.737
2020-03-20,1.125,1.405,1.630
2020-03-19,1.198,1.456,1.670
2020-03-18,1.055,1.262,1.510
2020-03-17,1.015,1.187,1.427
2020-03-16,1.060,1.231,1.518
2020-03-13,1.152,1.324,1.619
2020-03-12,1.050,1.165,1.375
2020-03-11,1.075,1.180,1.365
2020-03-10,1.085,1.183,1.360
2020-03-09,1.022,1.110,1.260
2020-03-06,1.072,1.180,1.370
2020-03-05,1.050,1.155,1.348
2020-03-04,1.036,1.120,1.298
2020-03-03,1.119,1.210,1.380
2020-03-02,1.125,1.210,1.375
2020-02-28,1.100,1.170,1.327
2020-02-27,1.192,1.295,1.445
2020-02-26,1.135,1.237,1.405
2020-02-25,1.180,1.272,1.440
2020-02-24,1.145,1.237,1.420
2020-02-21,1.187,1.270,1.447
2020-02-20,1.245,1.340,1.530
2020-02-19,1.280,1.375,1.555
2020-02-18,1.270,1.377,1.555
2020-02-17,1.310,1.425,1.615
2020-02-14,1.330,1.457,1.657
2020-02-13,1.272,1.397,1.605
2020-02-12,1.292,1.420,1.615
2020-02-11,1.292,1.405,1.597
2020-02-10,1.295,1.410,1.605
2020-02-07,1.277,1.400,1.602
2020-02-06,1.302,1.415,1.615
2020-02-05,1.312,1.415,1.602
2020-02-04,1.335,1.442,1.632
2020-02-03,1.290,1.376,1.555
2020-01-31,1.312,1.395,1.562
2020-01-30,1.302,1.390,1.557
2020-01-29,1.322,1.422,1.575
2020-01-28,1.347,1.455,1.601
2020-01-23,1.424,1.540,1.700
2020-01-22,1.435,1.552,1.730
2020-01-21,1.400,1.517,1.692
2020-01-20,1.452,1.577,1.756
2020-01-17,1.422,1.545,1.740
2020-01-16,1.425,1.535,1.705
2020-01-15,1.391,1.505,1.696
2020-01-14,1.387,1.512,1.715
2020-01-13,1.406,1.542,1.732
2020-01-10,1.418,1.555,1.709
2020-01-09,1.415,1.525,1.685
2020-01-08,1.366,1.465,1.635
2020-01-07,1.335,1.440,1.633
2020-01-06,1.280,1.360,1.557
2020-01-03,1.271,1.361,1.560
2020-01-02,1.323,1.430,1.625
2019-12-31,1.355,1.470,1.672
2019-12-30,1.355,1.470,1.672
2019-12-27,1.366,1.485,1.682
2019-12-26,1.365,1.470,1.639
2019-12-24,1.369,1.460,1.632
2019-12-23,1.377,1.459,1.642
2019-12-20,1.385,1.475,1.665
2019-12-19,1.380,1.465,1.655
2019-12-18,1.360,1.445,1.610
2019-12-17,1.357,1.450,1.600
2019-12-16,1.368,1.456,1.602
2019-12-13,1.400,1.497,1.652
2019-12-12,1.380,1.472,1.615
2019-12-11,1.380,1.475,1.620
2019-12-10,1.390,1.482,1.619
2019-12-09,1.405,1.480,1.657
2019-12-06,1.430,1.515,1.685
2019-12-05,1.420,1.490,1.655
2019-12-04,1.402,1.475,1.652
2019-12-03,1.455,1.548,1.737
2019-12-02,1.430,1.530,1.700
2019-11-29,1.387,1.480,1.635
2019-11-28,1.425,1.520,1.665
2019-11-27,1.450,1.525,1.665
2019-11-26,1.467,1.557,1.700
2019-11-25,1.472,1.575,1.725
2019-11-22,1.455,1.550,1.698
2019-11-21,1.467,1.540,1.680
2019-11-20,1.443,1.518,1.666
2019-11-19,1.480,1.552,1.725
2019-11-18,1.517,1.595,1.780
2019-11-15,1.515,1.610,1.795
2019-11-14,1.512,1.610,1.782
2019-11-13,1.502,1.611,1.785
2019-11-12,1.553,1.672,1.842
2019-11-11,1.505,1.630,1.797
2019-11-08,1.515,1.640,1.800
2019-11-07,1.550,1.675,1.833
2019-11-06,1.520,1.657,1.810
2019-11-05,1.520,1.657,1.820
2019-11-04,1.557,1.685,1.837
2019-11-01,1.477,1.605,1.740
2019-10-31,1.462,1.586,1.730
2019-10-30,1.467,1.587,1.744
